scope,threshold,source_activation,timesteps,replaced,spike_scale,calibration_stat,threshold_mean,threshold_min,threshold_max,split,precision,recall,map50,map50_95
none,1.0,ReLU,1,0,threshold,p99,1.0,1.0,1.0,test,0.895191,0.949061,0.955944,0.738888
only1,0.4,ReLU,16,1,threshold,p99,24.398837,24.398837,24.398837,test,0.123433,0.263889,0.074436,0.014335
only2,0.4,ReLU,16,4,threshold,p99,7.990856,0.517894,19.80901,test,0.401218,0.291667,0.19034,0.081242
only3,0.4,ReLU,16,1,threshold,p99,2.546883,2.546883,2.546883,test,0.906439,0.672859,0.778887,0.525336
only4,0.4,ReLU,16,4,threshold,p99,1.575457,1.281998,2.020339,test,0.780398,0.555556,0.605435,0.401682
only5,0.4,ReLU,16,1,threshold,p99,1.627452,1.627452,1.627452,test,0.88499,0.930556,0.955769,0.733971
only6,0.4,ReLU,16,9,threshold,p99,1.046304,0.549863,1.725214,test,0.887728,0.861111,0.941224,0.709537
only7,0.4,ReLU,16,1,threshold,p99,1.352618,1.352618,1.352618,test,0.872458,0.950121,0.954024,0.734142
only8,0.4,ReLU,16,9,threshold,p99,1.742686,0.808658,3.561525,test,0.853011,0.972222,0.952293,0.732333
only9,0.4,ReLU,16,1,threshold,p99,2.220445,2.220445,2.220445,test,0.895501,0.952208,0.956745,0.735115
only10,0.4,ReLU,16,3,threshold,p99,2.558624,1.478885,3.10251,test,0.880837,0.958333,0.954705,0.734878
only13,0.4,ReLU,16,9,threshold,p99,1.124189,0.40873,2.272002,test,0.876165,0.786189,0.924133,0.665134
only16,0.4,ReLU,16,9,threshold,p99,1.531962,0.475544,3.290646,test,0.06,0.083333,0.025852,0.003643
only17,0.4,ReLU,16,1,threshold,p99,0.863506,0.863506,0.863506,test,0.895191,0.949061,0.955944,0.738888
only19,0.4,ReLU,16,9,threshold,p99,1.098012,0.355307,2.267956,test,0.895191,0.949061,0.955944,0.738888
only20,0.4,ReLU,16,1,threshold,p99,0.938979,0.938979,0.938979,test,0.895191,0.949061,0.955944,0.738888
only22,0.4,ReLU,16,5,threshold,p99,1.843288,1.209519,3.519806,test,0.895191,0.949061,0.955944,0.738888
head,0.4,ReLU,16,36,threshold,p99,1.471407,0.67198,3.839941,test,0.0,0.0,0.0,0.0
