scope,threshold,source_activation,timesteps,replaced,split,precision,recall,map50,map50_95
none,1.0,ReLU,1,0,test,0.895191,0.949061,0.955944,0.738888
until0,0.05,ReLU,2,1,test,0.0,0.0,0.0,0.0
until0,0.05,ReLU,4,1,test,0.0,0.0,0.0,0.0
until0,0.1,ReLU,2,1,test,0.0,0.0,0.0,0.0
until0,0.1,ReLU,4,1,test,0.0,0.0,0.0,0.0
until0,0.5,ReLU,2,1,test,0.0,0.0,0.0,0.0
until0,0.5,ReLU,4,1,test,0.0,0.0,0.0,0.0
until5,0.05,ReLU,2,12,test,0.0,0.0,0.0,0.0
until5,0.05,ReLU,4,12,test,0.0,0.0,0.0,0.0
until5,0.1,ReLU,2,12,test,0.0,0.0,0.0,0.0
until5,0.1,ReLU,4,12,test,0.0,0.0,0.0,0.0
until5,0.5,ReLU,2,12,test,0.0,0.0,0.0,0.0
until5,0.5,ReLU,4,12,test,0.0,0.0,0.0,0.0
all,0.05,ReLU,2,105,test,0.0,0.0,0.0,0.0
all,0.05,ReLU,4,105,test,0.0,0.0,0.0,0.0
all,0.1,ReLU,2,105,test,0.0,0.0,0.0,0.0
all,0.1,ReLU,4,105,test,0.0,0.0,0.0,0.0
all,0.5,ReLU,2,105,test,0.0,0.0,0.0,0.0
all,0.5,ReLU,4,105,test,0.0,0.0,0.0,0.0
