scope,threshold,source_activation,timesteps,replaced,spike_scale,calibration_stat,threshold_mean,threshold_min,threshold_max,split,precision,recall,map50,map50_95
only1,0.1,ReLU,16,1,threshold,p99,6.099709,6.099709,6.099709,test,0.960878,0.666667,0.821407,0.432997
only1,0.2,ReLU,16,1,threshold,p99,12.199419,12.199419,12.199419,test,0.749928,0.472222,0.477548,0.133388
only1,0.4,ReLU,16,1,threshold,p99,24.398837,24.398837,24.398837,test,0.123433,0.263889,0.074436,0.014335
only1,0.8,ReLU,16,1,threshold,p99,48.797675,48.797675,48.797675,test,0.01037,0.097222,0.007336,0.001401
only2,0.1,ReLU,16,4,threshold,p99,1.997714,0.129474,4.952253,test,0.0,0.0,0.0,0.0
only2,0.2,ReLU,16,4,threshold,p99,3.995428,0.258947,9.904505,test,0.058511,0.305556,0.022823,0.005485
only2,0.4,ReLU,16,4,threshold,p99,7.990856,0.517894,19.80901,test,0.401218,0.291667,0.19034,0.081242
only2,0.8,ReLU,16,4,threshold,p99,15.981713,1.035789,39.618021,test,0.003115,0.027778,7.8e-05,8e-06
range3-4,0.1,ReLU,16,5,threshold,p99,0.442436,0.3205,0.636721,test,0.0,0.0,0.0,0.0
range3-4,0.2,ReLU,16,5,threshold,p99,0.884871,0.640999,1.273441,test,0.0,0.0,0.0,0.0
range3-4,0.4,ReLU,16,5,threshold,p99,1.769742,1.281998,2.546883,test,0.0,0.0,0.0,0.0
range3-4,0.8,ReLU,16,5,threshold,p99,3.539485,2.563997,5.093766,test,0.051232,0.069444,0.007027,0.001129
only16,0.1,ReLU,16,9,threshold,p99,0.38299,0.118886,0.822661,test,0.0,0.0,0.0,0.0
only16,0.2,ReLU,16,9,threshold,p99,0.765981,0.237772,1.645323,test,0.0,0.0,0.0,0.0
only16,0.4,ReLU,16,9,threshold,p99,1.531962,0.475544,3.290646,test,0.06,0.083333,0.025852,0.003643
only16,0.8,ReLU,16,9,threshold,p99,3.063923,0.951089,6.581291,test,0.022388,0.125,0.007677,0.001003
