scope,threshold,source_activation,timesteps,replaced,split,precision,recall,map50,map50_95
none,1.0,ReLU,1,0,test,0.003418,0.986111,0.035601,0.008988
until0,0.05,ReLU,2,1,test,0.000258,0.069444,1.7e-05,2e-06
until0,0.05,ReLU,4,1,test,0.000258,0.069444,1.7e-05,2e-06
until0,0.1,ReLU,2,1,test,0.000478,0.125,6e-05,7e-06
until0,0.1,ReLU,4,1,test,0.000478,0.125,6e-05,7e-06
until0,0.5,ReLU,2,1,test,0.000532,0.138889,7.4e-05,8e-06
until0,0.5,ReLU,4,1,test,0.000532,0.138889,7.4e-05,8e-06
until5,0.05,ReLU,2,12,test,0.0,0.0,0.0,0.0
until5,0.05,ReLU,4,12,test,0.0,0.0,0.0,0.0
until5,0.1,ReLU,2,12,test,0.0,0.0,0.0,0.0
until5,0.1,ReLU,4,12,test,0.0,0.0,0.0,0.0
until5,0.5,ReLU,2,12,test,0.0,0.0,0.0,0.0
until5,0.5,ReLU,4,12,test,0.0,0.0,0.0,0.0
all,0.05,ReLU,2,105,test,0.0,0.0,0.0,0.0
all,0.05,ReLU,4,105,test,0.0,0.0,0.0,0.0
all,0.1,ReLU,2,105,test,0.0,0.0,0.0,0.0
all,0.1,ReLU,4,105,test,0.0,0.0,0.0,0.0
all,0.5,ReLU,2,105,test,0.0,0.0,0.0,0.0
all,0.5,ReLU,4,105,test,0.0,0.0,0.0,0.0
