scope,threshold,source_activation,timesteps,replaced,spike_scale,calibration_stat,threshold_mean,threshold_min,threshold_max,split,precision,recall,map50,map50_95
until0,0.05,ReLU,8,1,threshold,p99,0.868315,0.868315,0.868315,test,0.0,0.0,0.0,0.0
until0,0.05,ReLU,16,1,threshold,p99,0.868315,0.868315,0.868315,test,0.0,0.0,0.0,0.0
until0,0.1,ReLU,8,1,threshold,p99,1.736629,1.736629,1.736629,test,0.0,0.0,0.0,0.0
until0,0.1,ReLU,16,1,threshold,p99,1.736629,1.736629,1.736629,test,0.0,0.0,0.0,0.0
until0,0.15,ReLU,8,1,threshold,p99,2.604944,2.604944,2.604944,test,0.0,0.0,0.0,0.0
until0,0.15,ReLU,16,1,threshold,p99,2.604944,2.604944,2.604944,test,0.0,0.0,0.0,0.0
until0,0.2,ReLU,8,1,threshold,p99,3.473259,3.473259,3.473259,test,0.247525,0.347222,0.291453,0.132286
until0,0.2,ReLU,16,1,threshold,p99,3.473259,3.473259,3.473259,test,0.234043,0.305556,0.251016,0.090655
until0,0.25,ReLU,8,1,threshold,p99,4.341573,4.341573,4.341573,test,0.265537,0.652778,0.609908,0.338646
until0,0.25,ReLU,16,1,threshold,p99,4.341573,4.341573,4.341573,test,0.256983,0.638889,0.583742,0.313434
until0,0.3,ReLU,8,1,threshold,p99,5.209888,5.209888,5.209888,test,0.974987,0.541389,0.636135,0.411459
until0,0.3,ReLU,16,1,threshold,p99,5.209888,5.209888,5.209888,test,1.0,0.540158,0.64105,0.395326
until0,0.4,ReLU,8,1,threshold,p99,6.946517,6.946517,6.946517,test,0.965543,0.652778,0.700641,0.493566
until0,0.4,ReLU,16,1,threshold,p99,6.946517,6.946517,6.946517,test,0.991876,0.666667,0.741988,0.500228
until0,0.5,ReLU,8,1,threshold,p99,8.683146,8.683146,8.683146,test,0.743837,0.472222,0.534908,0.367498
until0,0.5,ReLU,16,1,threshold,p99,8.683146,8.683146,8.683146,test,0.897507,0.555556,0.622906,0.388589
