module,mean,p95,p99,p999,max
model.0,inf,15.488123,27.734518,2.1897959305208936e+37,1.987523008965356e+38
model.1,inf,16.362288,38.444221,2.2216720189841126e+37,1.89539827630461e+38
model.2.cv1,inf,10.082183,22.229887,1.3177579128588708e+37,1.2158013582017904e+38
model.2.m.0.cv1,1.1564981214682532e+31,0.739446,1.228323,1.2798766941266181e+35,2.832268635969525e+36
model.2.m.0.cv2,inf,13.456944,3.1282740831333434e+35,9.762552496935262e+36,2.540285602616556e+37
model.2.cv2,inf,4.174178760480382e+33,5.9576535849286234e+35,9.335789048814227e+36,8.321107506475983e+37
model.3,5.958167817184055e+31,3.540152,5.353520227139167e+34,2.453915338164281e+36,1.6764016206754414e+37
model.4.cv1,2.543832153594798e+31,2.735889,2.35017766627766e+34,1.0844615404794603e+36,4.36255489050484e+36
model.4.m.0.cv1,1.5074309748861506e+31,2.478135,3.65345,1.331133056759612e+35,1.7170701337018435e+36
model.4.m.0.cv2,1.9804964741080612e+31,3.265643,2.194769644801868e+34,3.0007276353577235e+35,1.0354146334215423e+36
model.4.cv2,1.1743503834798117e+31,1.545028,4.506568198805587e+34,8.325638374942583e+35,2.7554376007402924e+36
model.5,2.431950892033834e+31,2.447965,1.5963002835917554e+34,3.828816626619095e+35,1.2556304995523778e+36
model.6.cv1,1.8629517989014025e+31,2.117376,3.746026,3.869092659174034e+35,7.296750557548966e+35
model.6.m.0.cv1,8.577093950588997e+30,1.511303,2.011041,2.729591433038158e+34,4.7674493058397125e+35
model.6.m.0.m.0.cv1,6.63463779058416e+30,1.469788,2.526667,3.3357401076939693e+34,2.350813472281837e+35
model.6.m.0.m.0.cv2,3.962735878904193e+30,1.584462,2.358346,2.6964235531535925e+34,8.93964237335888e+34
model.6.m.0.m.1.cv1,1.4380509170456674e+30,1.574184,2.15519,1.803788951719839e+30,8.05767892483423e+34
model.6.m.0.m.1.cv2,3.7549480599690935e+30,3.848074,4.897294,2.4858182612061436e+34,5.815484292303355e+34
model.6.m.0.cv2,2.245894707718069e+31,2.432686,3.629848,4.600115366166257e+34,1.6214103671947708e+36
model.6.m.0.cv3,9.328454111276698e+30,2.200886,3.390504,9.553473456310488e+34,5.394478018032541e+35
model.6.cv2,3.940847858291862e+30,1.369751,2.13228,9.293956658234858e+34,3.516004826253776e+35
model.7,5.607913747493008e+30,2.043524,3.206049,6.22589706799959e+34,1.3932413008121847e+35
model.8.cv1,2.854678388209528e+30,1.960319,2.931754,4.229263687893473e+34,1.2143141021884235e+35
model.8.m.0.cv1,1.4072496355596034e+30,1.241676,2.02969,3.010227,4.251882337939264e+34
model.8.m.0.m.0.cv1,1.316029681215646e+30,2.030697,3.472389,3.341190262510927e+33,2.649432339614351e+34
model.8.m.0.m.0.cv2,5.733805860717747e+29,2.628382,4.114593,5.5425581431964365e+32,1.4542826881389012e+34
model.8.m.0.m.1.cv1,6.631392827524938e+29,2.314227,3.777808,2.3923171142664335e+33,1.0401487884785783e+34
model.8.m.0.m.1.cv2,1.677366653316835e+29,4.424912,7.034908,9.073303805846711e+30,3.604397359843667e+33
model.8.m.0.cv2,7.186715993347155e+30,2.289568,4.084047,2.247338213431385e+31,2.5470053788342848e+35
model.8.m.0.cv3,2.4963130335348218e+30,1.940229,3.037502,1.671115932629991e+34,1.4136759275230669e+35
model.8.cv2,2.2038980779874222e+30,1.883556,3.088837,2.5107773606902076e+34,9.228148756098479e+34
model.9.cv2,5.908917895841029e+30,0.976753,2.286555,5.725436038669721e+34,1.8481539604774002e+35
model.10.cv1,4.5119025615074776e+30,2.404272,3.692403,5.545480656566931e+34,1.6184039753400045e+35
model.10.m.0.ffn.0,0.010295,0.0,0.130896,0.858772,3.839024
model.10.cv2,0.141151,0.908605,1.772385,2.675733,12.042966
model.13.cv1,0.501813,1.771012,2.341128,3.051048,6.271977
model.13.m.0.cv1,0.305937,1.057566,1.326266,1.735927,2.994318
model.13.m.0.m.0.cv1,0.203651,1.120364,1.759191,2.594104,5.085765
model.13.m.0.m.0.cv2,0.582933,2.06008,2.766802,4.037642,6.575482
model.13.m.0.m.1.cv1,0.186544,1.010574,1.495201,2.416648,3.322658
model.13.m.0.m.1.cv2,1.993346,4.050382,5.037262,7.158403,8.517956
model.13.m.0.cv2,0.432833,1.949181,2.941717,4.679744,11.104397
model.13.m.0.cv3,0.364115,1.562458,2.256853,3.35296,6.264026
model.13.cv2,0.232309,1.081016,1.490204,1.940005,3.969549
model.16.cv1,0.862202,2.292589,2.754898,3.314308,5.63967
model.16.m.0.cv1,0.215641,0.881523,1.180082,1.493344,1.960522
model.16.m.0.m.0.cv1,0.397325,1.984519,2.803202,3.625451,6.358832
model.16.m.0.m.0.cv2,0.395509,1.942199,2.644967,3.660605,5.187123
model.16.m.0.m.1.cv1,0.307938,2.081728,2.59324,3.156933,4.109841
model.16.m.0.m.1.cv2,2.576213,6.558879,8.599912,10.787154,13.962025
model.16.m.0.cv2,0.775818,3.011946,3.780399,4.30901,6.551116
model.16.m.0.cv3,0.881423,3.071109,4.154488,5.371859,8.396056
model.16.cv2,0.496944,1.990499,4.026761,4.406741,5.738143
model.17,0.2828,1.542341,2.366261,3.293828,5.812771
model.19.cv1,0.469354,1.771187,2.453475,3.520243,7.863393
model.19.m.0.cv1,0.219658,0.782077,0.963417,1.208771,1.954958
model.19.m.0.m.0.cv1,0.207875,1.165035,1.924404,2.691954,4.964736
model.19.m.0.m.0.cv2,0.303092,1.62446,1.959967,2.608847,4.574251
model.19.m.0.m.1.cv1,0.240473,1.261395,2.294205,4.033961,5.306655
model.19.m.0.m.1.cv2,1.555084,4.746978,6.231615,11.625271,15.606246
model.19.m.0.cv2,0.514594,2.084754,3.260838,4.726388,7.848423
model.19.m.0.cv3,0.749223,2.730579,4.606092,10.469866,12.707758
model.19.cv2,0.326021,1.572512,3.534818,4.27577,7.305275
model.20,0.340138,1.774206,2.615159,4.020212,7.11643
model.22.cv1,0.352241,2.0878,3.054937,4.097305,5.857196
model.22.m.0.0.cv1,0.449839,2.190354,3.304191,3.850393,5.094101
model.22.m.0.0.cv2,0.517125,2.597381,3.999074,5.376059,6.560378
model.22.m.0.1.ffn.0,0.302476,1.854846,3.138867,5.502926,6.735608
model.22.cv2,0.409142,2.393351,4.454912,7.158856,14.907817
model.23.one2one_cv2.0.0,3.047033,7.782868,9.783703,11.786879,13.840043
model.23.one2one_cv2.0.1,0.578134,2.169368,2.636649,3.220212,4.067113
model.23.one2one_cv2.1.0,1.758485,5.36622,7.115512,7.75388,8.311391
model.23.one2one_cv2.1.1,0.563454,1.988518,3.211015,3.770068,4.163188
model.23.one2one_cv2.2.0,1.450069,3.689722,4.359048,5.521008,5.707589
model.23.one2one_cv2.2.1,0.919679,3.4811,4.255915,6.267154,6.480323
model.23.one2one_cv3.0.0.0,2.637869,5.115639,6.175783,7.289037,11.74103
model.23.one2one_cv3.0.0.1,0.486134,2.068884,2.855977,4.188874,7.570969
model.23.one2one_cv3.0.1.0,0.429743,1.929241,3.343028,5.4908,14.501433
model.23.one2one_cv3.0.1.1,0.523506,2.268774,3.41967,6.007772,16.086245
