epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.173,1.69439,7.0861,0.00646,0.82951,0.61132,0.75979,0.40817,1.61578,2.10129,0.01787,0.000663968,0.000663968,0.000663968
2,51.145,1.58955,2.09684,0.00584,0.41227,0.31321,0.30428,0.09156,2.66516,2.11858,0.04972,0.00130429,0.00130429,0.00130429
3,74.2878,1.59116,1.19839,0.00582,0.92374,0.77707,0.88922,0.50278,1.72376,1.19996,0.02124,0.00191821,0.00191821,0.00191821
4,97.3652,1.57838,0.9441,0.00569,0.67658,0.56981,0.63258,0.30719,2.25595,1.28395,0.03923,0.0018812,0.0018812,0.0018812
5,120.344,1.52452,0.82902,0.00557,0.923,0.89057,0.96176,0.61817,1.36591,0.75418,0.01244,0.0018416,0.0018416,0.0018416
6,143.747,1.45948,0.76553,0.00525,0.95145,0.88746,0.93883,0.58339,1.56689,0.69065,0.01936,0.001802,0.001802,0.001802
7,166.893,1.44839,0.73336,0.00517,0.95281,0.91428,0.9693,0.57671,1.6049,0.78628,0.01732,0.0017624,0.0017624,0.0017624
8,188.932,1.41141,0.6849,0.00498,0.99146,0.93585,0.98519,0.65923,1.32599,0.5937,0.01285,0.0017228,0.0017228,0.0017228
9,211.88,1.38608,0.64469,0.00494,0.98221,0.93962,0.98186,0.61412,1.5198,0.57825,0.01579,0.0016832,0.0016832,0.0016832
10,235.853,1.34731,0.62501,0.0047,0.93227,0.8717,0.9479,0.5893,1.53636,0.6767,0.01939,0.0016436,0.0016436,0.0016436
11,258.968,1.35615,0.61648,0.00473,0.96034,0.91375,0.97767,0.64348,1.41719,0.57954,0.01463,0.001604,0.001604,0.001604
12,282.094,1.33635,0.61697,0.00465,0.98899,0.93208,0.98609,0.61939,1.35905,0.60073,0.01196,0.0015644,0.0015644,0.0015644
13,305.125,1.30437,0.58573,0.00451,0.9409,0.92453,0.97406,0.57962,1.51214,0.62884,0.01509,0.0015248,0.0015248,0.0015248
14,328.096,1.29289,0.57231,0.00449,0.975,0.95094,0.98961,0.6648,1.30469,0.4971,0.01167,0.0014852,0.0014852,0.0014852
15,351.547,1.28458,0.55358,0.00448,0.9768,0.95313,0.99033,0.66295,1.34024,0.49331,0.01159,0.0014456,0.0014456,0.0014456
16,375.046,1.2708,0.55439,0.00435,0.97621,0.92904,0.98791,0.64648,1.37214,0.51352,0.01243,0.001406,0.001406,0.001406
17,397.986,1.25418,0.5477,0.00426,0.96813,0.91715,0.97892,0.64093,1.31119,0.5812,0.01204,0.0013664,0.0013664,0.0013664
18,420.875,1.23031,0.52655,0.00425,0.96887,0.93947,0.98324,0.65143,1.31802,0.52073,0.01256,0.0013268,0.0013268,0.0013268
19,444.484,1.22858,0.52739,0.00422,0.96974,0.96761,0.98576,0.67787,1.26943,0.46995,0.01204,0.0012872,0.0012872,0.0012872
