epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2886,1.54212,8.19196,0.00745,0.52483,0.59494,0.54448,0.28054,1.39918,5.16144,0.01598,0.000661578,0.000661578,0.000661578
2,23.4384,1.44126,3.74835,0.00681,0.59997,0.50312,0.55391,0.2974,1.48941,2.03172,0.01978,0.00130195,0.00130195,0.00130195
3,34.3016,1.41276,1.82438,0.00667,0.86691,0.74207,0.85184,0.56356,1.37367,0.93351,0.0206,0.00191591,0.00191591,0.00191591
4,45.039,1.34509,1.18959,0.00628,0.84337,0.83544,0.89238,0.56918,1.22846,0.84963,0.01732,0.0018812,0.0018812,0.0018812
5,55.8034,1.33433,0.93176,0.00601,0.86267,0.87975,0.90036,0.59905,1.31002,0.75549,0.01655,0.0018416,0.0018416,0.0018416
6,66.5655,1.28121,0.80461,0.00551,0.9508,0.86709,0.94658,0.61665,1.35025,0.56278,0.01515,0.001802,0.001802,0.001802
7,77.3658,1.26413,0.71001,0.00544,0.79755,0.87269,0.86947,0.57699,1.24523,0.71052,0.01567,0.0017624,0.0017624,0.0017624
8,88.061,1.21194,0.6447,0.00512,0.91473,0.89241,0.96188,0.66222,1.05072,0.55513,0.01028,0.0017228,0.0017228,0.0017228
9,98.8278,1.173,0.61767,0.00494,0.91204,0.87975,0.92508,0.64345,1.2949,0.5839,0.01211,0.0016832,0.0016832,0.0016832
10,109.557,1.1248,0.59033,0.00479,0.98794,0.91772,0.98171,0.72279,1.03166,0.51319,0.01231,0.0016436,0.0016436,0.0016436
11,120.275,1.16253,0.6089,0.00503,0.79437,0.91139,0.87373,0.58602,1.1882,0.73646,0.01459,0.001604,0.001604,0.001604
12,131.039,1.11782,0.56993,0.0047,0.97917,0.89234,0.96756,0.67675,1.1094,0.40295,0.01521,0.0015644,0.0015644,0.0015644
13,141.758,1.15105,0.55196,0.00487,0.96926,0.9557,0.98901,0.72216,1.02385,0.37796,0.00908,0.0015248,0.0015248,0.0015248
14,152.49,1.05358,0.51839,0.00444,0.96652,0.96203,0.99057,0.73836,1.00028,0.37822,0.00868,0.0014852,0.0014852,0.0014852
15,163.182,1.11431,0.54949,0.0046,0.98345,0.9557,0.9904,0.75086,1.00874,0.41974,0.00782,0.0014456,0.0014456,0.0014456
16,173.934,1.04245,0.47472,0.00425,0.99308,0.93038,0.98926,0.74324,0.95399,0.45056,0.0081,0.001406,0.001406,0.001406
17,184.684,1.05154,0.50986,0.00433,0.97735,0.96835,0.99233,0.75349,1.05729,0.31924,0.01117,0.0013664,0.0013664,0.0013664
18,195.449,1.0533,0.46793,0.00436,0.96254,0.97565,0.9918,0.72226,1.04113,0.41366,0.01104,0.0013268,0.0013268,0.0013268
19,206.189,1.01262,0.45379,0.0042,0.90567,0.94304,0.96533,0.70653,1.07239,0.44184,0.0106,0.0012872,0.0012872,0.0012872
20,217.058,1.04134,0.45338,0.00407,0.95507,0.96835,0.97866,0.71823,1.09178,0.36711,0.01072,0.0012476,0.0012476,0.0012476
21,227.793,1.04758,0.446,0.00419,0.95449,0.92914,0.97335,0.69115,1.14383,0.37776,0.01112,0.001208,0.001208,0.001208
22,238.578,1.00157,0.43243,0.00407,0.92514,0.9386,0.96981,0.70426,1.03476,0.37256,0.00949,0.0011684,0.0011684,0.0011684
23,249.311,1.00517,0.4234,0.00401,0.97393,0.94584,0.99019,0.76445,1.00588,0.29081,0.00899,0.0011288,0.0011288,0.0011288
24,260.062,0.98099,0.42987,0.00381,0.98235,0.93038,0.97837,0.74039,0.97472,0.3687,0.00897,0.0010892,0.0010892,0.0010892
25,270.856,0.97378,0.43478,0.00385,0.95667,0.97816,0.99165,0.76367,0.98374,0.31124,0.00915,0.0010496,0.0010496,0.0010496
26,281.693,0.97411,0.41164,0.00387,0.83131,0.90506,0.90504,0.6729,1.12031,0.40973,0.01253,0.00101,0.00101,0.00101
27,292.44,0.97019,0.40074,0.00391,0.96343,0.96203,0.9872,0.75023,0.97573,0.39981,0.01016,0.0009704,0.0009704,0.0009704
28,303.219,0.98177,0.39997,0.00383,0.82273,0.88608,0.87705,0.62279,1.24633,0.4382,0.01534,0.0009308,0.0009308,0.0009308
29,313.923,0.93384,0.35828,0.00371,0.98043,0.96835,0.99106,0.7594,0.93425,0.32684,0.00763,0.0008912,0.0008912,0.0008912
30,324.68,0.93514,0.38456,0.00369,0.83582,0.87342,0.89552,0.6729,1.05081,0.53837,0.01052,0.0008516,0.0008516,0.0008516
31,335.509,0.89946,0.37053,0.00357,0.9808,0.96203,0.99194,0.77379,0.96772,0.32077,0.00755,0.000812,0.000812,0.000812
32,346.299,0.92579,0.37479,0.00355,0.97308,0.99367,0.99418,0.74063,1.08911,0.34134,0.00838,0.0007724,0.0007724,0.0007724
33,357.124,0.8997,0.34932,0.0035,0.83256,0.81013,0.83995,0.62576,1.23167,0.61892,0.01471,0.0007328,0.0007328,0.0007328
34,368.024,0.90732,0.35476,0.00351,0.8917,0.94937,0.93885,0.72045,1.01167,0.32725,0.01038,0.0006932,0.0006932,0.0006932
35,378.838,0.88322,0.35088,0.0034,0.98738,0.99006,0.99475,0.77297,0.91996,0.27004,0.00679,0.0006536,0.0006536,0.0006536
36,389.556,0.87542,0.34867,0.00338,0.94233,0.93084,0.95636,0.74879,0.9512,0.29893,0.00864,0.000614,0.000614,0.000614
37,400.221,0.90814,0.3457,0.00346,0.8047,0.78481,0.81383,0.64159,1.10748,0.58229,0.01453,0.0005744,0.0005744,0.0005744
38,411.113,0.84802,0.3468,0.00324,0.77737,0.81768,0.81759,0.63595,1.1392,0.51511,0.01623,0.0005348,0.0005348,0.0005348
39,421.87,0.85456,0.33415,0.00321,0.79725,0.87342,0.84593,0.64229,1.12876,0.4469,0.01574,0.0004952,0.0004952,0.0004952
40,432.643,0.86471,0.32843,0.00324,0.83715,0.87342,0.8628,0.66221,1.13643,0.44703,0.01582,0.0004556,0.0004556,0.0004556
41,444.425,0.82534,0.31276,0.0036,0.97447,0.96644,0.99261,0.77692,0.9336,0.28088,0.00679,0.000416,0.000416,0.000416
42,455.07,0.79569,0.28787,0.00336,0.98891,0.97468,0.99354,0.77522,0.91186,0.26075,0.00665,0.0003764,0.0003764,0.0003764
43,465.793,0.79736,0.29087,0.00338,0.98327,0.98101,0.9945,0.77803,0.92269,0.25372,0.00676,0.0003368,0.0003368,0.0003368
44,476.578,0.77576,0.26421,0.00324,0.98492,0.98734,0.99375,0.7718,0.94777,0.25457,0.00716,0.0002972,0.0002972,0.0002972
45,487.258,0.77077,0.28818,0.00322,0.98049,0.98101,0.99379,0.77417,0.9346,0.25256,0.00721,0.0002576,0.0002576,0.0002576
46,498.061,0.76342,0.26307,0.00308,0.99631,0.99367,0.995,0.77739,0.94354,0.24286,0.00716,0.000218,0.000218,0.000218
47,508.719,0.75365,0.25672,0.00308,0.98667,0.99367,0.99481,0.79388,0.88643,0.23699,0.00639,0.0001784,0.0001784,0.0001784
48,519.435,0.74274,0.2488,0.00305,0.98079,0.97468,0.99419,0.79384,0.88824,0.2489,0.00648,0.0001388,0.0001388,0.0001388
49,530.089,0.74144,0.24833,0.00308,0.97352,0.98734,0.9938,0.79243,0.89228,0.24688,0.00645,9.92e-05,9.92e-05,9.92e-05
50,540.765,0.74961,0.24971,0.003,0.96888,0.9854,0.99346,0.79097,0.88352,0.25348,0.00639,5.96e-05,5.96e-05,5.96e-05
